epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,12858.1,1.03728,4.88022,1.81919,0.90368,0.88055,0.93292,0.67725,1.1197,5.65162,1.75202,0.00137143,0.00137143,0.00137143
117,12957.7,1.08598,5.00304,1.75085,0.88132,0.89934,0.94147,0.69533,1.09785,5.52293,1.75002,0.00130287,0.00130287,0.00130287
118,13057.7,1.07546,5.05097,1.80663,0.91748,0.88218,0.95441,0.70105,1.1123,5.47497,1.77901,0.00123596,0.00123596,0.00123596
119,13156.7,1.00846,4.73871,1.73253,0.90034,0.88573,0.95603,0.69787,1.08856,5.5016,1.76187,0.00117072,0.00117072,0.00117072
120,13255.6,1.06612,4.98613,1.76887,0.89094,0.88465,0.95195,0.68225,1.10351,5.60069,1.75892,0.00110718,0.00110718,0.00110718
121,13354.2,1.03113,4.85957,1.76016,0.8911,0.89056,0.94966,0.68218,1.10763,5.5428,1.75581,0.00104537,0.00104537,0.00104537
122,13454.6,1.04039,4.86719,1.73778,0.92465,0.89051,0.95311,0.69107,1.10615,5.3708,1.76225,0.000985311,0.000985311,0.000985311
123,13552.3,1.02028,4.72369,1.77954,0.92691,0.88822,0.95677,0.69317,1.11539,5.39256,1.77028,0.00092704,0.00092704,0.00092704
124,13653.1,1.03877,4.7845,1.77703,0.91842,0.89129,0.95501,0.68291,1.10898,5.43155,1.76016,0.000870577,0.000870577,0.000870577
125,13752.9,1.03737,4.82306,1.69493,0.90459,0.88969,0.9524,0.67668,1.10424,5.46239,1.74085,0.000815947,0.000815947,0.000815947
126,13851.5,1.03121,4.73493,1.71045,0.89825,0.89552,0.95338,0.67927,1.10265,5.46934,1.72759,0.000763174,0.000763174,0.000763174
127,13950.5,1.02392,4.74781,1.6726,0.85881,0.91965,0.95542,0.68821,1.09125,5.35509,1.73398,0.000712282,0.000712282,0.000712282
128,14048.3,1.00067,4.60228,1.78781,0.9204,0.85696,0.9529,0.68481,1.09783,5.31917,1.75257,0.000663292,0.000663292,0.000663292
129,14146.9,1.00743,4.61357,1.71015,0.90907,0.87051,0.95374,0.68975,1.09255,5.28269,1.74989,0.000616227,0.000616227,0.000616227
130,14245.2,1.02148,4.69837,1.78553,0.90714,0.874,0.95147,0.6917,1.097,5.37787,1.73738,0.000571106,0.000571106,0.000571106
131,14345.6,1.02169,4.65472,1.75104,0.91964,0.87596,0.95393,0.69206,1.09661,5.37451,1.73819,0.00052795,0.00052795,0.00052795
132,14448.4,1.02206,4.61811,1.80087,0.9054,0.88644,0.95464,0.69482,1.08505,5.34255,1.74176,0.000486777,0.000486777,0.000486777
133,14548.5,0.97852,4.53865,1.67309,0.88531,0.88441,0.94897,0.6866,1.09222,5.40271,1.75666,0.000447606,0.000447606,0.000447606
134,14649.9,0.99308,4.54928,1.72667,0.88941,0.88068,0.94696,0.68152,1.10859,5.42641,1.76978,0.000410454,0.000410454,0.000410454
135,14751.7,0.98419,4.61032,1.74482,0.88847,0.87683,0.94809,0.68701,1.10952,5.4053,1.76499,0.000375337,0.000375337,0.000375337
136,14847.2,0.99364,4.42448,1.80821,0.88758,0.87348,0.94709,0.69216,1.10573,5.36214,1.75448,0.00034227,0.00034227,0.00034227
137,14944,1.02449,4.5015,1.85853,0.88425,0.87796,0.94618,0.6886,1.11329,5.36605,1.74983,0.000311268,0.000311268,0.000311268
138,15039.6,1.03456,4.57217,1.82271,0.86731,0.90755,0.93999,0.67089,1.12126,5.43582,1.75552,0.000282345,0.000282345,0.000282345
139,15136.1,1.01724,4.51803,1.79324,0.87101,0.90255,0.94163,0.66997,1.11362,5.43216,1.75744,0.000255513,0.000255513,0.000255513
140,15231.5,0.97867,4.3879,1.8181,0.87431,0.89578,0.94533,0.67542,1.10234,5.38229,1.75774,0.000230784,0.000230784,0.000230784
141,15327.2,0.99764,4.46959,1.78274,0.87681,0.89694,0.9499,0.68165,1.0938,5.34676,1.75474,0.000208169,0.000208169,0.000208169
142,15421.9,1.01024,4.50065,1.81278,0.87218,0.90978,0.95398,0.68988,1.08472,5.33586,1.75281,0.000187678,0.000187678,0.000187678
143,15516.1,0.99361,4.40986,1.79115,0.87019,0.91063,0.95261,0.68998,1.08461,5.35214,1.75236,0.00016932,0.00016932,0.00016932
